plate_x,plate_z,z
0.585,1.885,0.946192984014
-0.893,3.562,0.116080830804
0.084,2.73,0.991110895773
0.787,1.202,0.0244437887614
0.548,4.081,0.0188690128562
0.306,1.61,0.770635241928
0.589,1.626,0.703073747049
1.163,2.982,0.115209734972
0.422,2.422,0.987173532966
-0.152,1.818,0.93457491702
-0.362,3.709,0.0660756958437
-0.336,2.331,0.989851538461
0.293,1.246,0.0306236786968
-0.713,1.002,0.0219640765401
0.73,3.076,0.9217885534
0.245,0.87,0.0108757510589
-0.821,3.694,0.0267803508555
0.929,1.49,0.166588577702
0.201,2.256,0.988836964425
0.07,3.437,0.58670149153
0.185,1.898,0.949370283686
0.901,1.936,0.65836210826
0.69,1.599,0.596747231393
1.018,3.05,0.316401748946
0.229,2.076,0.988199489583
0.75,1.154,0.0108412983721
1.119,2.272,0.185513442228
0.076,3.651,0.132708175014
0.589,3.135,0.940322725154
0.263,2.535,0.991029062563
0.292,1.03,0.011298537856
1.283,2.013,0.0427056406356
-0.407,2.549,0.988178495707
0.406,1.477,0.388164193222
0.439,4.15,0.0206406469379
0.111,2.534,0.991104417207
0.517,2.704,0.976823205299
0.802,2.468,0.917641063075
-0.607,0.833,0.0158995360089
-1.04,3.373,0.096548585717
-0.567,3.198,0.897765764138
0.487,4.021,0.0189891290136
-1.021,2.214,0.304476202959
0.306,3.217,0.935573986015
-0.946,1.844,0.455714875702
0.113,2.581,0.9910506341
1.064,1.429,0.0478549829016
0.83,1.402,0.101060372465
0.536,0.691,0.0112542507233
1.211,2.722,0.0564247766969
0.11,2.054,0.987001325755
0.955,2.012,0.571342439426
-0.139,2.007,0.972833758236
0.524,2.245,0.984094864526
0.397,1.959,0.980492502059
-0.59,3.452,0.437367388107
-1.229,3.37,0.0288155455053
-1.148,1.506,0.045275199894
-0.781,2.028,0.845845363636
0.002,1.586,0.669591529175
0.426,1.736,0.88844045034
0.589,3.019,0.966540238172
-0.712,4.123,0.0147516918633
0.13,2.319,0.991401108934
0.456,1.213,0.0225281669935
-0.828,2.081,0.768989422485
0.997,3.585,0.0423675652606
-1.052,3.503,0.0532320603761
1.411,2.192,0.0158784809301
1.264,2.226,0.0205600444556
-0.916,2.215,0.709735449901
1.051,1.984,0.269432655246
0.161,1.231,0.0249323095452
1.309,2.665,0.0174907333978
0.53,3.052,0.970191191308
0.037,1.417,0.253324349584
0.658,0.895,0.0174436543759
0.768,4.106,0.0138232259262
0.858,1.87,0.728548829165
-1.119,2.11,0.141442894002
1.079,1.189,0.0165382594511
0.235,3.014,0.984304289012
-1.026,3.085,0.24527934543
1.459,1.893,0.0215106552242
-0.232,1.695,0.834149910928
1.416,1.589,0.011394592473
0.297,1.989,0.977379087836
1.128,3.084,0.103285358047
1.424,2.507,0.0173756715055
0.029,1.428,0.274809060212
0.949,1.787,0.410586084479
0.341,1.34,0.0816818534593
